"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6702,87.8,87.8,12.2,"Boécourt JU","Boécourt (JU)","Boécourt JU",,"A Boécourt, les habitants disent oui à 87,8 pour cent à l'initiative en faveur de l'égalité salariale.",
6703,85.4,85.4,14.6,"Bourrignon JU","Bourrignon (JU)","Bourrignon JU",,"Les habitants de Bourrignon approuvent l'initiative en faveur de l'égalité salariale avec 85,4 pour cent de oui.",
6704,87.2,87.2,12.8,"Châtillon JU","Châtillon (JU)","Châtillon JU",,"Les habitants de Châtillon (JU) acceptent l'initiative en faveur de l'égalité salariale avec 87,2 pour cent de oui.",
6706,90.3,90.3,9.7,"Courchapoix JU","Courchapoix (JU)","Courchapoix JU",,"A Courchapoix, les habitants disent oui à 90,3 pour cent à l'initiative en faveur de l'égalité salariale.",
6708,85.3,85.3,14.7,"Courrendlin JU","Courrendlin (JU)","Courrendlin JU",,"Les habitants de Courrendlin acceptent l'initiative en faveur de l'égalité salariale avec 85,3 pour cent de oui.",
6709,89.7,89.7,10.3,"Courroux JU","Courroux (JU)","Courroux JU",,"A Courroux, les habitants disent oui à 89,7 pour cent à l'initiative en faveur de l'égalité salariale.",
6710,86.5,86.5,13.5,"Courtételle JU","Courtételle (JU)","Courtételle JU",,"Les habitants de Courtételle approuvent l'initiative en faveur de l'égalité salariale avec 86,5 pour cent de oui.",
6711,90.1,90.1,9.9,"Delsberg JU","Delémont (JU)","Delsberg JU",,"Les habitants de Delémont acceptent l'initiative en faveur de l'égalité salariale avec 90,1 pour cent de oui.",
6712,90.2,90.2,9.8,"Develier JU","Develier (JU)","Develier JU",,"Les habitants de Develier approuvent l'initiative en faveur de l'égalité salariale avec 90,2 pour cent de oui.",
6713,63.8,63.8,36.2,"Ederswiler JU","Ederswiler (JU)","Ederswiler JU",,"L'initiative en faveur de l'égalité salariale passe la rampe à Ederswiler. Les électeurs de cette petite commune sont 37 à approuver le texte.",
6715,90.4,90.4,9.6,"Mervelier JU","Mervelier (JU)","Mervelier JU",,"Les habitants de Mervelier acceptent l'initiative en faveur de l'égalité salariale avec 90,4 pour cent de oui.",
6716,93.9,93.9,6.1,"Mettembert JU","Mettembert (JU)","Mettembert JU",,"L'initiative en faveur de l'égalité salariale passe la rampe à Mettembert. Les électeurs de cette petite commune sont 62 à approuver le texte.",
6718,81.3,81.3,18.7,"Movelier JU","Movelier (JU)","Movelier JU",,"A Movelier, les habitants disent oui à 81,3 pour cent à l'initiative en faveur de l'égalité salariale.",
6719,86.3,86.3,13.7,"Pleigne JU","Pleigne (JU)","Pleigne JU",,"A Pleigne, les habitants disent oui à 86,3 pour cent à l'initiative en faveur de l'égalité salariale.",
6721,86.3,86.3,13.7,"Rossemaison JU","Rossemaison (JU)","Rossemaison JU",,"Les habitants de Rossemaison approuvent l'initiative en faveur de l'égalité salariale avec 86,3 pour cent de oui.",
6722,86.9,86.9,13.1,"Saulcy JU","Saulcy (JU)","Saulcy JU",,"A Saulcy, les habitants disent oui à 86,9 pour cent à l'initiative en faveur de l'égalité salariale.",
6724,89.6,89.6,10.4,"Soyhières JU","Soyhières (JU)","Soyhières JU",,"Les habitants de Soyhières approuvent l'initiative en faveur de l'égalité salariale avec 89,6 pour cent de oui.",
6729,86.8,86.8,13.2,"Haute-Sorne JU","Haute-Sorne (JU)","Haute-Sorne JU",,"A Haute-Sorne, les habitants disent oui à 86,8 pour cent à l'initiative en faveur de l'égalité salariale.",
6730,87.6,87.6,12.4,"Val Terbi JU","Val Terbi (JU)","Val Terbi JU",,"Les habitants de Val Terbi acceptent l'initiative en faveur de l'égalité salariale avec 87,6 pour cent de oui.",
6741,86.6,86.6,13.4,"Le Bémont JU","Le Bémont (JU)","Le Bémont JU",,"Les habitants du Bémont (JU) approuvent l'initiative en faveur de l'égalité salariale avec 86,6 pour cent de oui.",
6742,89.2,89.2,10.8,"Les Bois JU","Les Bois (JU)","Les Bois JU",,"Aux Bois, les habitants disent oui à 89,2 pour cent à l'initiative en faveur de l'égalité salariale.",
6743,88.8,88.8,11.2,"Les Breuleux JU","Les Breuleux (JU)","Les Breuleux JU",,"Aux Breuleux, les habitants disent oui à 88,8 pour cent à l'initiative en faveur de l'égalité salariale.",
6744,85.7,85.7,14.3,"La Chaux-des-Breuleux JU","La Chaux-des-Breuleux (JU)","La Chaux-des-Breuleux JU",,"L'initiative en faveur de l'égalité salariale passe la rampe à La Chaux-des-Breuleux. Les électeurs de cette petite commune sont 48 à approuver le texte.",
6745,81,81,19,"Les Enfers JU","Les Enfers (JU)","Les Enfers JU",,"L'initiative en faveur de l'égalité salariale passe la rampe aux Enfers. Les électeurs de cette petite commune sont 47 à approuver le texte.",
6748,91.5,91.5,8.5,"Les Genevez JU","Les Genevez (JU)","Les Genevez JU",,"Les habitants des Genevez (JU) acceptent l'initiative en faveur de l'égalité salariale avec 91,5 pour cent de oui.",
6750,94.4,94.4,5.6,"Lajoux JU","Lajoux (JU)","Lajoux JU",,"A Lajoux (JU), les habitants disent oui à 94,4 pour cent à l'initiative en faveur de l'égalité salariale.",
6751,89.7,89.7,10.3,"Montfaucon JU","Montfaucon (JU)","Montfaucon JU",,"Les habitants de Montfaucon approuvent l'initiative en faveur de l'égalité salariale avec 89,7 pour cent de oui.",
6753,88.8,88.8,11.2,"Muriaux JU","Muriaux (JU)","Muriaux JU",,"Les habitants de Muriaux acceptent l'initiative en faveur de l'égalité salariale avec 88,8 pour cent de oui.",
6754,91,91,9,"Le Noirmont JU","Le Noirmont (JU)","Le Noirmont JU",,"Les habitants du Noirmont acceptent l'initiative en faveur de l'égalité salariale avec 91 pour cent de oui.",
6757,90.8,90.8,9.2,"Saignelégier JU","Saignelégier (JU)","Saignelégier JU",,"A Saignelégier, les habitants disent oui à 90,8 pour cent à l'initiative en faveur de l'égalité salariale.",
6758,87.1,87.1,12.9,"Saint-Brais JU","Saint-Brais (JU)","Saint-Brais JU",,"A Saint-Brais, les habitants disent oui à 87,1 pour cent à l'initiative en faveur de l'égalité salariale.",
6759,78.4,78.4,21.6,"Soubey JU","Soubey (JU)","Soubey JU",,"L'initiative en faveur de l'égalité salariale passe la rampe à Soubey. Les électeurs de cette petite commune sont 58 à approuver le texte.",
6771,88.3,88.3,11.7,"Alle JU","Alle (JU)","Alle JU",,"Les habitants d'Alle acceptent l'initiative en faveur de l'égalité salariale avec 88,3 pour cent de oui.",
6773,90.6,90.6,9.4,"Beurnevésin JU","Beurnevésin (JU)","Beurnevésin JU",,"L'initiative en faveur de l'égalité salariale passe la rampe à Beurnevésin. Les électeurs de cette petite commune sont 58 à approuver le texte.",
6774,89.6,89.6,10.4,"Boncourt JU","Boncourt (JU)","Boncourt JU",,"Les habitants de Boncourt approuvent l'initiative en faveur de l'égalité salariale avec 89,6 pour cent de oui.",
6775,81.2,81.2,18.8,"Bonfol JU","Bonfol (JU)","Bonfol JU",,"Les habitants de Bonfol acceptent l'initiative en faveur de l'égalité salariale avec 81,2 pour cent de oui.",
6778,83.1,83.1,16.9,"Bure JU","Bure (JU)","Bure JU",,"Les habitants de Bure approuvent l'initiative en faveur de l'égalité salariale avec 83,1 pour cent de oui.",
6781,90.5,90.5,9.5,"Coeuve JU","Coeuve (JU)","Coeuve JU",,"Les habitants de Coeuve approuvent l'initiative en faveur de l'égalité salariale avec 90,5 pour cent de oui.",
6782,85.9,85.9,14.1,"Cornol JU","Cornol (JU)","Cornol JU",,"Les habitants de Cornol acceptent l'initiative en faveur de l'égalité salariale avec 85,9 pour cent de oui.",
6783,87.8,87.8,12.2,"Courchavon JU","Courchavon (JU)","Courchavon JU",,"Les habitants de Courchavon approuvent l'initiative en faveur de l'égalité salariale avec 87,8 pour cent de oui.",
6784,88.8,88.8,11.2,"Courgenay JU","Courgenay (JU)","Courgenay JU",,"Les habitants de Courgenay acceptent l'initiative en faveur de l'égalité salariale avec 88,8 pour cent de oui.",
6785,89,89,11,"Courtedoux JU","Courtedoux (JU)","Courtedoux JU",,"Les habitants de Courtedoux approuvent l'initiative en faveur de l'égalité salariale avec 89 pour cent de oui.",
6787,86.2,86.2,13.8,"Damphreux JU","Damphreux (JU)","Damphreux JU",,"Les habitants de Damphreux acceptent l'initiative en faveur de l'égalité salariale avec 86,2 pour cent de oui.",
