"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Vinzel","Vinzel","Vinzel","VD",80.24691358,"Vinzel","Vinzel","Vinzel","VD","VD","VD",80.24691358,80.24691358,80.24691358
"2","Denges","Denges","Denges","VD",80.144404332,"Denges","Denges","Denges","VD","VD","VD",80.144404332,80.144404332,80.144404332
"3","Chigny","Chigny","Chigny","VD",79.738562092,"Chigny","Chigny","Chigny","VD","VD","VD",79.738562092,79.738562092,79.738562092
"4","Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD",79.211469534,"Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD","VD","VD",79.211469534,79.211469534,79.211469534
"5","Cheseaux-Noréaz","Cheseaux-Noréaz","Cheseaux-Noréaz","VD",79.041916168,"Cheseaux-Noréaz","Cheseaux-Noréaz","Cheseaux-Noréaz","VD","VD","VD",79.041916168,79.041916168,79.041916168
"6","Eclépens","Eclépens","Eclépens","VD",78.07606264,"Eclépens","Eclépens","Eclépens","VD","VD","VD",78.07606264,78.07606264,78.07606264
"7","Crans-près-Céligny","Crans-près-Céligny","Crans-près-Céligny","VD",77.939393939,"Crans-près-Céligny","Crans-près-Céligny","Crans-près-Céligny","VD","VD","VD",77.939393939,77.939393939,77.939393939
"8","Arnex-sur-Nyon","Arnex-sur-Nyon","Arnex-sur-Nyon","VD",77.551020408,"Arnex-sur-Nyon","Arnex-sur-Nyon","Arnex-sur-Nyon","VD","VD","VD",77.551020408,77.551020408,77.551020408
"9","Dully","Dully","Dully","VD",76.348547718,"Dully","Dully","Dully","VD","VD","VD",76.348547718,76.348547718,76.348547718
"10","Ferreyres","Ferreyres","Ferreyres","VD",75.641025641,"Ferreyres","Ferreyres","Ferreyres","VD","VD","VD",75.641025641,75.641025641,75.641025641
"11","Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD",75.60137457,"Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD","VD","VD",75.60137457,75.60137457,75.60137457
"12","Echandens","Echandens","Echandens","VD",75.58974359,"Echandens","Echandens","Echandens","VD","VD","VD",75.58974359,75.58974359,75.58974359
"13","Denens","Denens","Denens","VD",75.581395349,"Denens","Denens","Denens","VD","VD","VD",75.581395349,75.581395349,75.581395349
"14","Villars-Epeney","Villars-Epeney","Villars-Epeney","VD",75.438596491,"Villars-Epeney","Villars-Epeney","Villars-Epeney","VD","VD","VD",75.438596491,75.438596491,75.438596491
"15","Etagnières","Etagnières","Etagnières","VD",75.398633257,"Etagnières","Etagnières","Etagnières","VD","VD","VD",75.398633257,75.398633257,75.398633257
"16","Bremblens","Bremblens","Bremblens","VD",75.294117647,"Bremblens","Bremblens","Bremblens","VD","VD","VD",75.294117647,75.294117647,75.294117647
"17","Genolier","Genolier","Genolier","VD",75.174337517,"Genolier","Genolier","Genolier","VD","VD","VD",75.174337517,75.174337517,75.174337517
"18","Givrins","Givrins","Givrins","VD",74.940898345,"Givrins","Givrins","Givrins","VD","VD","VD",74.940898345,74.940898345,74.940898345
"19","Féchy","Féchy","Féchy","VD",74.85380117,"Féchy","Féchy","Féchy","VD","VD","VD",74.85380117,74.85380117,74.85380117
"20","Bussy-Chardonney","Bussy-Chardonney","Bussy-Chardonney","VD",74.634146341,"Bussy-Chardonney","Bussy-Chardonney","Bussy-Chardonney","VD","VD","VD",74.634146341,74.634146341,74.634146341
"21","Buseno","Buseno","Buseno","GR",74.193548387,"Buseno","Buseno","Buseno","GR","GR","GR",74.193548387,74.193548387,74.193548387
"22","Bursinel","Bursinel","Bursinel","VD",74.111675127,"Bursinel","Bursinel","Bursinel","VD","VD","VD",74.111675127,74.111675127,74.111675127
"23","Morges","Morges","Morges","VD",74.087360203,"Morges","Morges","Morges","VD","VD","VD",74.087360203,74.087360203,74.087360203
"24","Visperterminen","Visperterminen","Visperterminen","VS",74.024024024,"Visperterminen","Visperterminen","Visperterminen","VS","VS","VS",74.024024024,74.024024024,74.024024024
"25","Bursins","Bursins","Bursins","VD",73.99380805,"Bursins","Bursins","Bursins","VD","VD","VD",73.99380805,73.99380805,73.99380805
"26","Préverenges","Préverenges","Préverenges","VD",73.986690865,"Préverenges","Préverenges","Préverenges","VD","VD","VD",73.986690865,73.986690865,73.986690865
"27","Luins","Luins","Luins","VD",73.873873874,"Luins","Luins","Luins","VD","VD","VD",73.873873874,73.873873874,73.873873874
"28","Trélex","Trélex","Trélex","VD",73.642172524,"Trélex","Trélex","Trélex","VD","VD","VD",73.642172524,73.642172524,73.642172524
"29","Vufflens-la-Ville","Vufflens-la-Ville","Vufflens-la-Ville","VD",73.58490566,"Vufflens-la-Ville","Vufflens-la-Ville","Vufflens-la-Ville","VD","VD","VD",73.58490566,73.58490566,73.58490566
"30","Essertes","Essertes","Essertes","VD",73.563218391,"Essertes","Essertes","Essertes","VD","VD","VD",73.563218391,73.563218391,73.563218391
"31","Rueyres","Rueyres","Rueyres","VD",73.426573427,"Rueyres","Rueyres","Rueyres","VD","VD","VD",73.426573427,73.426573427,73.426573427
"32","Lully (VD)","Lully VD","Lully VD","VD",73.262032086,"Lully (VD)","Lully VD","Lully VD","VD","VD","VD",73.262032086,73.262032086,73.262032086
"33","Corseaux","Corseaux","Corseaux","VD",73.114754098,"Corseaux","Corseaux","Corseaux","VD","VD","VD",73.114754098,73.114754098,73.114754098
"34","Jouxtens-Mézery","Jouxtens-Mézery","Jouxtens-Mézery","VD",73.003194888,"Jouxtens-Mézery","Jouxtens-Mézery","Jouxtens-Mézery","VD","VD","VD",73.003194888,73.003194888,73.003194888
"35","Valeyres-sous-Ursins","Valeyres-sous-Ursins","Valeyres-sous-Ursins","VD",72.549019608,"Valeyres-sous-Ursins","Valeyres-sous-Ursins","Valeyres-sous-Ursins","VD","VD","VD",72.549019608,72.549019608,72.549019608
"36","Prilly","Prilly","Prilly","VD",72.536687631,"Prilly","Prilly","Prilly","VD","VD","VD",72.536687631,72.536687631,72.536687631
"37","Etoy","Etoy","Etoy","VD",72.520661157,"Etoy","Etoy","Etoy","VD","VD","VD",72.520661157,72.520661157,72.520661157
