"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Sévaz","Sévaz","Sévaz","FR",80.45112782,"Sévaz","Sévaz","Sévaz","FR","FR","FR",80.45112782,80.45112782,80.45112782
"2","Cuarny","Cuarny","Cuarny","VD",77.5,"Cuarny","Cuarny","Cuarny","VD","VD","VD",77.5,77.5,77.5
"3","Pailly","Pailly","Pailly","VD",75.735294118,"Pailly","Pailly","Pailly","VD","VD","VD",75.735294118,75.735294118,75.735294118
"4","Bursinel","Bursinel","Bursinel","VD",75.634517766,"Bursinel","Bursinel","Bursinel","VD","VD","VD",75.634517766,75.634517766,75.634517766
"5","Chapelle (Glâne)","Chapelle (Glâne)","Chapelle (Glâne)","FR",75.460122699,"Chapelle (Glâne)","Chapelle (Glâne)","Chapelle (Glâne)","FR","FR","FR",75.460122699,75.460122699,75.460122699
"6","Ferpicloz","Ferpicloz","Ferpicloz","FR",74.789915966,"Ferpicloz","Ferpicloz","Ferpicloz","FR","FR","FR",74.789915966,74.789915966,74.789915966
"7","Saint-Aubin (FR)","Saint-Aubin FR","Saint-Aubin FR","FR",74.151436031,"Saint-Aubin (FR)","Saint-Aubin FR","Saint-Aubin FR","FR","FR","FR",74.151436031,74.151436031,74.151436031
"8","Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS",74.137931034,"Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS","VS","VS",74.137931034,74.137931034,74.137931034
"9","Saint-Martin (VS)","Saint-Martin VS","Saint-Martin VS","VS",74.130434783,"Saint-Martin (VS)","Saint-Martin VS","Saint-Martin VS","VS","VS","VS",74.130434783,74.130434783,74.130434783
"10","Embd","Embd","Embd","VS",73.793103448,"Embd","Embd","Embd","VS","VS","VS",73.793103448,73.793103448,73.793103448
"11","Eischoll","Eischoll","Eischoll","VS",73.75,"Eischoll","Eischoll","Eischoll","VS","VS","VS",73.75,73.75,73.75
"12","Hüniken","Hüniken","Hüniken","SO",73.626373626,"Hüniken","Hüniken","Hüniken","SO","SO","SO",73.626373626,73.626373626,73.626373626
"13","Poliez-Pittet","Poliez-Pittet","Poliez-Pittet","VD",73.58490566,"Poliez-Pittet","Poliez-Pittet","Poliez-Pittet","VD","VD","VD",73.58490566,73.58490566,73.58490566
"14","Eppenberg-Wöschnau","Eppenberg-Wöschnau","Eppenberg-Wöschnau","SO",73.195876289,"Eppenberg-Wöschnau","Eppenberg-Wöschnau","Eppenberg-Wöschnau","SO","SO","SO",73.195876289,73.195876289,73.195876289
"15","Chavannes-le-Chêne","Chavannes-le-Chêne","Chavannes-le-Chêne","VD",73.099415205,"Chavannes-le-Chêne","Chavannes-le-Chêne","Chavannes-le-Chêne","VD","VD","VD",73.099415205,73.099415205,73.099415205
"16","Lüterswil-Gächliwil","Lüterswil-Gächliwil","Lüterswil-Gächliwil","SO",72.959183673,"Lüterswil-Gächliwil","Lüterswil-Gächliwil","Lüterswil-Gächliwil","SO","SO","SO",72.959183673,72.959183673,72.959183673
"17","Rossenges","Rossenges","Rossenges","VD",72.727272727,"Rossenges","Rossenges","Rossenges","VD","VD","VD",72.727272727,72.727272727,72.727272727
"18","Silvaplana","Silvaplana","Silvaplana","GR",72.5,"Silvaplana","Silvaplana","Silvaplana","GR","GR","GR",72.5,72.5,72.5
"19","Bougy-Villars","Bougy-Villars","Bougy-Villars","VD",72.189349112,"Bougy-Villars","Bougy-Villars","Bougy-Villars","VD","VD","VD",72.189349112,72.189349112,72.189349112
"20","Cheseaux-Noréaz","Cheseaux-Noréaz","Cheseaux-Noréaz","VD",72.155688623,"Cheseaux-Noréaz","Cheseaux-Noréaz","Cheseaux-Noréaz","VD","VD","VD",72.155688623,72.155688623,72.155688623
"21","Signy-Avenex","Signy-Avenex","Signy-Avenex","VD",72.123893805,"Signy-Avenex","Signy-Avenex","Signy-Avenex","VD","VD","VD",72.123893805,72.123893805,72.123893805
"22","Bas-Intyamon","Bas-Intyamon","Bas-Intyamon","FR",72.01309329,"Bas-Intyamon","Bas-Intyamon","Bas-Intyamon","FR","FR","FR",72.01309329,72.01309329,72.01309329
"23","Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD",71.666666667,"Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD","VD","VD",71.666666667,71.666666667,71.666666667
"24","Rovray","Rovray","Rovray","VD",71.559633028,"Rovray","Rovray","Rovray","VD","VD","VD",71.559633028,71.559633028,71.559633028
"25","Mex (VD)","Mex VD","Mex VD","VD",71.481481481,"Mex (VD)","Mex VD","Mex VD","VD","VD","VD",71.481481481,71.481481481,71.481481481
"26","Balm bei Günsberg","Balm bei Günsberg","Balm bei Günsberg","SO",71.428571429,"Balm bei Günsberg","Balm bei Günsberg","Balm bei Günsberg","SO","SO","SO",71.428571429,71.428571429,71.428571429
"27","Falera","Falera","Falera","GR",71.428571429,"Falera","Falera","Falera","GR","GR","GR",71.428571429,71.428571429,71.428571429
"28","La Sonnaz","La Sonnaz","La Sonnaz","FR",71.011673152,"La Sonnaz","La Sonnaz","La Sonnaz","FR","FR","FR",71.011673152,71.011673152,71.011673152
"29","Bremblens","Bremblens","Bremblens","VD",70.967741935,"Bremblens","Bremblens","Bremblens","VD","VD","VD",70.967741935,70.967741935,70.967741935
